000001, 07, 10, 12, 13, 15, 17, 18, 19, 21, 27, 28, 32, 33, 45, 46, 47, 48, 50, 54, 58
000002, 04, 08, 09, 11, 18, 19, 20, 21, 25, 29, 30, 40, 41, 42, 46, 47, 48, 51, 52, 60
000003, 01, 03, 04, 06, 08, 12, 14, 17, 22, 23, 24, 25, 26, 30, 31, 36, 39, 41, 42, 51
000004, 02, 04, 08, 12, 13, 15, 20, 25, 28, 30, 36, 41, 42, 44, 48, 49, 51, 52, 54, 60
000005, 04, 07, 08, 09, 10, 13, 17, 18, 20, 21, 24, 30, 35, 37, 40, 43, 47, 50, 54, 58
000006, 01, 02, 04, 12, 15, 21, 22, 23, 24, 29, 31, 32, 36, 42, 46, 47, 49, 53, 54, 60
000007, 16, 18, 21, 24, 26, 27, 29, 31, 34, 35, 40, 41, 42, 43, 45, 46, 48, 49, 51, 56
000008, 01, 03, 07, 10, 11, 21, 23, 34, 36, 37, 38, 39, 42, 46, 50, 51, 54, 55, 58, 59
000009, 01, 06, 07, 08, 14, 16, 19, 20, 23, 29, 30, 31, 33, 35, 39, 40, 45, 55, 56, 59
000010, 08, 10, 13, 15, 16, 19, 24, 28, 31, 32, 35, 36, 38, 41, 44, 46, 49, 52, 56, 57
000011, 01, 04, 06, 07, 08, 15, 17, 19, 21, 22, 29, 31, 34, 39, 40, 42, 48, 49, 57, 60
000012, 05, 08, 13, 17, 18, 28, 29, 31, 35, 37, 39, 41, 42, 43, 45, 49, 53, 54, 58, 59
000013, 02, 04, 05, 06, 11, 16, 19, 21, 30, 33, 34, 37, 38, 43, 44, 51, 53, 57, 58, 59
000014, 02, 03, 06, 07, 10, 16, 20, 23, 24, 25, 27, 28, 31, 42, 44, 49, 50, 57, 59, 60
000015, 01, 02, 04, 12, 14, 15, 17, 23, 35, 36, 42, 44, 47, 48, 52, 54, 55, 56, 58, 60
000016, 01, 03, 05, 07, 11, 19, 20, 21, 24, 25, 26, 27, 28, 30, 31, 36, 39, 52, 53, 57
000017, 02, 04, 06, 08, 10, 20, 22, 24, 26, 27, 29, 31, 39, 42, 45, 51, 54, 55, 58, 59
