000001, 03, 05, 09, 10, 12, 14, 16, 18, 20, 27, 30, 32, 34, 35, 37, 38, 45, 54, 55, 57
000002, 04, 09, 10, 12, 13, 17, 20, 25, 26, 27, 31, 34, 36, 38, 45, 49, 51, 56, 57, 59
000003, 02, 03, 09, 10, 19, 20, 23, 27, 29, 31, 34, 39, 40, 45, 50, 51, 52, 53, 54, 56
000004, 01, 03, 04, 05, 12, 14, 18, 21, 24, 26, 32, 35, 42, 45, 46, 47, 50, 53, 58, 59
000005, 06, 07, 08, 09, 11, 14, 22, 23, 24, 26, 31, 35, 41, 42, 43, 50, 57, 58, 59, 60
000006, 08, 16, 18, 19, 20, 24, 25, 28, 32, 38, 40, 41, 42, 45, 46, 48, 53, 54, 57, 60
000007, 03, 07, 09, 14, 17, 21, 23, 29, 33, 38, 40, 41, 43, 44, 46, 47, 54, 55, 56, 57
000008, 01, 05, 07, 12, 13, 15, 18, 22, 26, 27, 29, 34, 35, 37, 40, 43, 50, 53, 55, 57
000009, 01, 02, 04, 05, 09, 14, 18, 19, 20, 21, 30, 32, 38, 39, 41, 42, 44, 45, 53, 56
000010, 01, 09, 10, 19, 20, 22, 24, 25, 34, 36, 37, 39, 42, 45, 46, 47, 49, 51, 52, 60
000011, 01, 03, 08, 11, 13, 16, 20, 22, 25, 26, 31, 33, 37, 41, 44, 46, 50, 51, 52, 57
000012, 05, 14, 15, 16, 21, 24, 25, 26, 27, 29, 34, 35, 36, 37, 42, 43, 50, 53, 54, 58
000013, 03, 04, 05, 08, 10, 15, 18, 20, 22, 25, 29, 31, 32, 34, 38, 46, 50, 54, 59, 60
000014, 01, 02, 09, 14, 17, 19, 24, 25, 29, 33, 35, 36, 39, 42, 45, 48, 53, 54, 56, 58
000015, 02, 04, 05, 06, 08, 14, 18, 19, 21, 23, 25, 28, 31, 36, 37, 39, 44, 46, 48, 51
000016, 03, 15, 16, 20, 22, 24, 25, 30, 33, 35, 37, 38, 41, 42, 43, 44, 50, 53, 55, 56
000017, 03, 07, 10, 13, 15, 16, 17, 18, 23, 24, 31, 34, 37, 38, 41, 45, 48, 52, 54, 59
000018, 03, 04, 05, 07, 17, 24, 26, 27, 29, 35, 36, 37, 40, 46, 48, 51, 52, 54, 56, 60
000019, 01, 02, 03, 09, 10, 12, 13, 15, 16, 23, 28, 29, 30, 32, 36, 45, 46, 47, 53, 56
000020, 01, 04, 05, 06, 09, 10, 14, 21, 22, 24, 26, 40, 41, 45, 46, 49, 53, 57, 59, 60
000021, 01, 02, 13, 16, 17, 31, 32, 33, 35, 39, 40, 43, 44, 46, 49, 50, 55, 56, 58, 59
000022, 01, 02, 04, 05, 07, 08, 09, 15, 20, 25, 29, 31, 36, 39, 41, 42, 43, 46, 50, 60
000023, 05, 07, 11, 12, 16, 24, 26, 27, 28, 34, 37, 38, 39, 45, 46, 49, 50, 51, 53, 55
000024, 02, 07, 09, 11, 17, 21, 24, 32, 34, 36, 40, 41, 46, 49, 50, 52, 55, 57, 58, 60
000025, 07, 10, 13, 15, 16, 17, 20, 24, 26, 35, 36, 38, 41, 43, 44, 49, 50, 54, 58, 60
000026, 04, 05, 06, 10, 14, 16, 18, 19, 23, 28, 29, 34, 39, 44, 45, 48, 49, 56, 57, 59
000027, 03, 13, 14, 16, 17, 18, 19, 21, 25, 27, 28, 29, 30, 33, 34, 35, 38, 41, 43, 46
000028, 03, 04, 06, 07, 10, 11, 14, 18, 19, 21, 22, 33, 34, 35, 39, 41, 43, 48, 54, 55
000029, 09, 14, 15, 18, 19, 20, 29, 30, 33, 38, 39, 40, 43, 47, 52, 54, 55, 57, 58, 60
000030, 03, 08, 13, 14, 18, 22, 25, 27, 33, 37, 38, 44, 45, 49, 51, 55, 56, 57, 58, 60
000031, 01, 02, 04, 05, 07, 12, 19, 20, 23, 24, 34, 37, 38, 39, 46, 51, 55, 56, 58, 59
000032, 03, 05, 06, 08, 10, 19, 22, 23, 25, 27, 28, 31, 33, 34, 35, 38, 45, 47, 48, 54
